Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Categories,Chrome 116.0.0.0,,,2023-09-25 23:34:58,2023-09-25 23:36:16,1m - 18.374s,PASSED
,,,,,,,
Test Cases/Categories - Apparels and Shoes,Chrome 116.0.0.0,,,2023-09-25 23:34:59,2023-09-25 23:35:15,16.750s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-25 23:34:59,2023-09-25 23:35:07,8.288s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 116.0.0.0,,,2023-09-25 23:35:07,2023-09-25 23:35:12,4.338s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Apparel  Shoes""))",Chrome 116.0.0.0,,,2023-09-25 23:35:12,2023-09-25 23:35:13,1.664s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Demo Web Shop. Apparel  Shoes/h1_Apparel  Shoes""), 0)",Chrome 116.0.0.0,,,2023-09-25 23:35:13,2023-09-25 23:35:14,0.440s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Web Shop. Apparel  Shoes/h1_Apparel  Shoes""), ""Apparel & Shoes"")",Chrome 116.0.0.0,,,2023-09-25 23:35:14,2023-09-25 23:35:14,0.401s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-25 23:35:14,2023-09-25 23:35:15,1.043s,PASSED
,,,,,,,
Test Cases/Categories - Books,Chrome 116.0.0.0,,,2023-09-25 23:35:15,2023-09-25 23:35:26,10.252s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-25 23:35:16,2023-09-25 23:35:19,3.046s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 116.0.0.0,,,2023-09-25 23:35:19,2023-09-25 23:35:23,3.844s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Books""))",Chrome 116.0.0.0,,,2023-09-25 23:35:23,2023-09-25 23:35:24,1.514s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Web Shop. Books/h1_Books""), ""Books"")",Chrome 116.0.0.0,,,2023-09-25 23:35:24,2023-09-25 23:35:24,0.383s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-25 23:35:24,2023-09-25 23:35:26,1.101s,PASSED
,,,,,,,
Test Cases/Categories - Computers,Chrome 116.0.0.0,,,2023-09-25 23:35:26,2023-09-25 23:35:36,10.672s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-25 23:35:26,2023-09-25 23:35:29,3.308s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 116.0.0.0,,,2023-09-25 23:35:29,2023-09-25 23:35:33,3.826s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Computers""))",Chrome 116.0.0.0,,,2023-09-25 23:35:33,2023-09-25 23:35:34,1.248s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Demo Web Shop. Computers/h1_Computers""), 0)",Chrome 116.0.0.0,,,2023-09-25 23:35:34,2023-09-25 23:35:35,0.424s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Web Shop. Computers/h1_Computers""), ""Computers"")",Chrome 116.0.0.0,,,2023-09-25 23:35:35,2023-09-25 23:35:35,0.376s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-25 23:35:35,2023-09-25 23:35:36,1.118s,PASSED
,,,,,,,
Test Cases/Categories - Digital downloads,Chrome 116.0.0.0,,,2023-09-25 23:35:36,2023-09-25 23:35:47,10.246s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-25 23:35:37,2023-09-25 23:35:39,2.812s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 116.0.0.0,,,2023-09-25 23:35:39,2023-09-25 23:35:43,3.979s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Digital downloads""))",Chrome 116.0.0.0,,,2023-09-25 23:35:43,2023-09-25 23:35:45,1.371s,PASSED
