Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Top Menu,Chrome 116.0.0.0,,,2023-09-25 23:37:29,2023-09-25 23:38:40,1m - 10.533s,PASSED
,,,,,,,
Test Cases/Top Menu - Apparel and Shoes,Chrome 116.0.0.0,,,2023-09-25 23:37:29,2023-09-25 23:37:41,11.870s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-25 23:37:30,2023-09-25 23:37:34,3.995s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 116.0.0.0,,,2023-09-25 23:37:34,2023-09-25 23:37:38,4.134s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Apparel  Shoes""))",Chrome 116.0.0.0,,,2023-09-25 23:37:38,2023-09-25 23:37:39,1.540s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Demo Web Shop. Apparel  Shoes/h1_Apparel  Shoes""), 0)",Chrome 116.0.0.0,,,2023-09-25 23:37:39,2023-09-25 23:37:40,0.372s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Web Shop. Apparel  Shoes/h1_Apparel  Shoes""), ""Apparel & Shoes"")",Chrome 116.0.0.0,,,2023-09-25 23:37:40,2023-09-25 23:37:40,0.389s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-25 23:37:40,2023-09-25 23:37:41,1.020s,PASSED
,,,,,,,
Test Cases/Top Menu - Books,Chrome 116.0.0.0,,,2023-09-25 23:37:41,2023-09-25 23:37:51,10.031s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-25 23:37:41,2023-09-25 23:37:44,2.407s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 116.0.0.0,,,2023-09-25 23:37:44,2023-09-25 23:37:48,4.038s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Books""))",Chrome 116.0.0.0,,,2023-09-25 23:37:48,2023-09-25 23:37:49,1.483s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Demo Web Shop. Books/h1_Books""), 0)",Chrome 116.0.0.0,,,2023-09-25 23:37:49,2023-09-25 23:37:50,0.344s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Web Shop. Books/h1_Books""), ""Books"")",Chrome 116.0.0.0,,,2023-09-25 23:37:50,2023-09-25 23:37:50,0.373s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-25 23:37:50,2023-09-25 23:37:51,1.038s,PASSED
,,,,,,,
Test Cases/Top Menu - Computers,Chrome 116.0.0.0,,,2023-09-25 23:37:51,2023-09-25 23:38:01,9.865s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-25 23:37:52,2023-09-25 23:37:54,2.418s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 116.0.0.0,,,2023-09-25 23:37:54,2023-09-25 23:37:58,4.106s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Computers""))",Chrome 116.0.0.0,,,2023-09-25 23:37:58,2023-09-25 23:37:59,1.238s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Demo Web Shop. Computers/strong_Computers""), 0)",Chrome 116.0.0.0,,,2023-09-25 23:37:59,2023-09-25 23:38:00,0.345s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Web Shop. Computers/h1_Computers""), ""Computers"")",Chrome 116.0.0.0,,,2023-09-25 23:38:00,2023-09-25 23:38:00,0.388s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-25 23:38:00,2023-09-25 23:38:01,1.042s,PASSED
,,,,,,,
Test Cases/Top Menu - Digital downloads,Chrome 116.0.0.0,,,2023-09-25 23:38:01,2023-09-25 23:38:11,9.453s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-25 23:38:01,2023-09-25 23:38:04,2.391s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 116.0.0.0,,,2023-09-25 23:38:04,2023-09-25 23:38:07,3.662s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Digital downloads""))",Chrome 116.0.0.0,,,2023-09-25 23:38:07,2023-09-25 23:38:09,1.261s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Demo Web Shop. Digital downloads/h1_Digital downloads""), 0)",Chrome 116.0.0.0,,,2023-09-25 23:38:09,2023-09-25 23:38:09,0.355s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Web Shop. Digital downloads/h1_Digital downloads""), ""Digital downloads"")",Chrome 116.0.0.0,,,2023-09-25 23:38:09,2023-09-25 23:38:09,0.380s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-25 23:38:09,2023-09-25 23:38:11,1.042s,PASSED
,,,,,,,
Test Cases/Top Menu - Electronics,Chrome 116.0.0.0,,,2023-09-25 23:38:11,2023-09-25 23:38:20,9.534s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-25 23:38:11,2023-09-25 23:38:13,2.424s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 116.0.0.0,,,2023-09-25 23:38:13,2023-09-25 23:38:17,3.735s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Electronics""))",Chrome 116.0.0.0,,,2023-09-25 23:38:17,2023-09-25 23:38:18,1.267s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Demo Web Shop. Electronics/h1_Electronics""), 0)",Chrome 116.0.0.0,,,2023-09-25 23:38:18,2023-09-25 23:38:19,0.350s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Web Shop. Electronics/h1_Electronics""), ""Electronics"")",Chrome 116.0.0.0,,,2023-09-25 23:38:19,2023-09-25 23:38:19,0.346s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-25 23:38:19,2023-09-25 23:38:20,1.044s,PASSED
,,,,,,,
Test Cases/Top Menu - Gift cards,Chrome 116.0.0.0,,,2023-09-25 23:38:20,2023-09-25 23:38:30,9.781s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-25 23:38:21,2023-09-25 23:38:23,2.485s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 116.0.0.0,,,2023-09-25 23:38:23,2023-09-25 23:38:27,3.503s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Gift Cards""))",Chrome 116.0.0.0,,,2023-09-25 23:38:27,2023-09-25 23:38:28,1.611s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Demo Web Shop. Gift Cards/h1_Gift Cards""), 0)",Chrome 116.0.0.0,,,2023-09-25 23:38:28,2023-09-25 23:38:28,0.344s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Web Shop. Gift Cards/h1_Gift Cards""), ""Gift Cards"")",Chrome 116.0.0.0,,,2023-09-25 23:38:28,2023-09-25 23:38:29,0.411s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-25 23:38:29,2023-09-25 23:38:30,1.012s,PASSED
,,,,,,,
Test Cases/Top Menu - Jewelry,Chrome 116.0.0.0,,,2023-09-25 23:38:30,2023-09-25 23:38:40,9.584s,PASSED
"openBrowser("""")",Chrome 116.0.0.0,,,2023-09-25 23:38:30,2023-09-25 23:38:33,2.413s,PASSED
"navigateToUrl(""https://demowebshop.tricentis.com/"")",Chrome 116.0.0.0,,,2023-09-25 23:38:33,2023-09-25 23:38:36,3.718s,PASSED
"click(findTestObject(""Object Repository/Page_Demo Web Shop/a_Jewelry""))",Chrome 116.0.0.0,,,2023-09-25 23:38:36,2023-09-25 23:38:38,1.371s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Demo Web Shop. Jewelry/h1_Jewelry""), 0)",Chrome 116.0.0.0,,,2023-09-25 23:38:38,2023-09-25 23:38:38,0.363s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Demo Web Shop. Jewelry/h1_Jewelry""), ""Jewelry"")",Chrome 116.0.0.0,,,2023-09-25 23:38:38,2023-09-25 23:38:38,0.346s,PASSED
closeBrowser(),Chrome 116.0.0.0,,,2023-09-25 23:38:38,2023-09-25 23:38:40,1.018s,PASSED
